station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 3:00,-72.6825,41.9381,,,,260,4,,30.12,,6,,CLR,,,,,,,,BR,,,,,,,,KBDL 010800Z AUTO 26004KT 6SM BR CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 3:05,-72.6825,41.9381,,,,260,4,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010805Z AUTO 26004KT 7SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 3:10,-72.6825,41.9381,,,,260,3,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010810Z AUTO 26003KT 7SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 3:15,-72.6825,41.9381,,,,0,0,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010815Z AUTO 00000KT 7SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 3:25,-72.6825,41.9381,,,,290,4,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010825Z AUTO 29004KT 7SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 3:30,-72.6825,41.9381,,,,290,4,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010830Z AUTO 29004KT 7SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 3:35,-72.6825,41.9381,,,,310,3,,30.12,,7,,CLR,,,,,,,,,,,,,,,,KBDL 010835Z AUTO 31003KT 7SM CLR M03/M04 A3012 RMK T10301040 MADISHF
BDL,12/1/2018 3:40,-72.6825,41.9381,,,,300,3,,30.12,,8,,CLR,,,,,,,,,,,,,,,,KBDL 010840Z AUTO 30003KT 8SM CLR M03/M04 A3012 RMK T10301040 MADISHF
BDL,12/1/2018 3:45,-72.6825,41.9381,,,,280,4,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010845Z AUTO 28004KT 9SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 3:50,-72.6825,41.9381,,,,0,0,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010850Z AUTO 00000KT 9SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 3:51,-72.6825,41.9381,25,24.1,96.31,0,0,0,30.12,1020.1,9,,CLR,,,,,,,,,0.0001,0.01,,,,,25,KBDL 010851Z 00000KT 9SM CLR M04/M04 A3012 RMK AO2 SLP201 I1000 I3001 T10391044 51005
BDL,12/1/2018 3:55,-72.6825,41.9381,,,,0,0,,30.12,,9,,CLR,,,,,,,,,,,,,,,,KBDL 010855Z AUTO 00000KT 9SM CLR M03/M04 A3012 RMK T10301040 MADISHF
BDL,12/1/2018 4:00,-72.6825,41.9381,,,,0,0,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010900Z AUTO 00000KT 10SM CLR M04/M04 A3012 RMK T10401040 MADISHF
BDL,12/1/2018 4:05,-72.6825,41.9381,,,,0,0,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010905Z AUTO 00000KT 10SM CLR M03/M04 A3012 RMK T10301040 MADISHF
BDL,12/1/2018 4:10,-72.6825,41.9381,,,,0,0,,30.12,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010910Z AUTO 00000KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 4:15,-72.6825,41.9381,,,,220,3,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010915Z AUTO 22003KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 4:20,-72.6825,41.9381,,,,230,3,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010920Z AUTO 23003KT 10SM CLR M02/M03 A3012 RMK T10201030 MADISHF
